subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,keyPress,accuracy,RT,ratingTrialNum,rating,ratingObject,ratingScene,experimentTime,totalTime,age,gender
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,6,large,kitchen,toaster.png,misscaled,0,zi,bathroom,b1_zi.png,m,1,930,6,1,toaster.png,b1_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,7,small,bathroom,lipstick.png,misscaled,0,zo,kitchen,k2_zo.png,m,1,1001,7,5,lipstick.png,k2_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,8,small,kitchen,spoon.png,scaled,1,zi,kitchen,k1_zi.png,c,1,875,8,3,spoon.png,k1_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,9,large,classroom,computer.png,scaled,0,zo,kitchen,k5_zo.png,m,1,1309,9,3,computer.png,k5_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,10,large,bathroom,tissuebox.png,misscaled,1,zi,bathroom,b5_zi.png,c,1,993,10,1,tissuebox.png,b5_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,11,small,kitchen,saltshaker.png,misscaled,0,zo,bathroom,b5_zo.png,m,1,927,11,5,saltshaker.png,b5_zo.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,12,large,bathroom,loofah.png,misscaled,1,zi,bathroom,b3_zi.png,c,1,1050,12,3,loofah.png,b3_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,13,small,laundromat,coins.png,scaled,0,zi,kitchen,k2_zi.png,m,1,825,13,5,coins.png,k2_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,14,small,classroom,paperclip.png,scaled,0,zi,laundromat,l0_zi.png,m,1,981,14,5,paperclip.png,l0_zi.png,148672,278917,41,Man
853028,OSSe4,v1,1319,966,1920,1080,5-15-2023,10-27-10,1,15,large,laundromat,shorts.png,scaled,0,zo,classroom,c1_zo.png,m,1,787,15,4,shorts.png,c1_zo.png,148672,278917,41,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,0,small,classroom,paperclip.png,scaled,0,zi,bathroom,b0_zi.png,m,1,1845,0,5,paperclip.png,b0_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,1,small,bathroom,floss.png,scaled,1,zi,bathroom,b4_zi.png,c,1,1094,1,1,floss.png,b4_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,2,large,bathroom,loofah.png,misscaled,0,zi,kitchen,k5_zi.png,m,1,1175,2,3,loofah.png,k5_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,3,small,kitchen,saltshaker.png,misscaled,0,zo,bathroom,b2_zo.png,m,1,837,3,4,saltshaker.png,b2_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,4,small,laundromat,coins.png,misscaled,1,zo,laundromat,l3_zo.png,c,1,915,4,5,coins.png,l3_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,5,large,kitchen,pot.png,misscaled,1,zi,kitchen,k4_zi.png,c,1,794,5,2,pot.png,k4_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,6,large,laundromat,shirt.png,scaled,1,zo,laundromat,l5_zo.png,c,1,730,6,3,shirt.png,l5_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,7,large,kitchen,toaster.png,scaled,0,zo,bathroom,b0_zo.png,m,1,997,7,4,toaster.png,b0_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,8,large,laundromat,shorts.png,scaled,1,zo,laundromat,l4_zo.png,c,1,923,8,4,shorts.png,l4_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,9,large,laundromat,detergent.png,scaled,0,zo,classroom,c2_zo.png,m,1,804,9,4,detergent.png,c2_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,10,small,kitchen,sponge.png,scaled,1,zi,kitchen,k3_zi.png,c,1,785,10,4,sponge.png,k3_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,11,small,kitchen,spoon.png,misscaled,0,zo,bathroom,b1_zo.png,m,1,688,11,3,spoon.png,b1_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,12,small,bathroom,nailclipper.png,misscaled,1,zo,bathroom,b4_zo.png,m,0,815,12,5,nailclipper.png,b4_zo.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,13,large,classroom,clipboard.png,misscaled,1,zi,classroom,c3_zi.png,c,1,1309,13,1,clipboard.png,c3_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,14,large,kitchen,kettle.png,misscaled,0,zi,classroom,c4_zi.png,m,1,994,14,1,kettle.png,c4_zi.png,103811,259635,30,Man
771393,OSSe4,v1,1277,1225,1920,1080,5-15-2023,9-46-51,3,15,small,classroom,binderclip.png,scaled,0,zi,laundromat,l0_zi.png,m,1,1290,15,3,binderclip.png,l0_zi.png,103811,259635,30,Man
668428,OSSe4,v1,1920,937,1920,1080,5-15-2023,10-20-6,1,0,large,laundromat,detergent.png,misscaled,1,zi,laundromat,l2_zi.png,c,1,1206,0,2,detergent.png,l2_zi.png,134017,211184,34,None of these describe me
668428,OSSe4,v1,1920,937,1920,1080,5-15-2023,10-20-6,1,1,small,classroom,paperclip.png,misscaled,0,zo,laundromat,l5_zo.png,c,0,1027,1,5,paperclip.png,l5_zo.png,134017,211184,34,None of these describe me
668428,OSSe4,v1,1920,937,1920,1080,5-15-2023,10-20-6,1,2,small,bathroom,lipstick.png,scaled,0,zi,kitchen,k2_zi.png,m,1,1139,2,3,lipstick.png,k2_zi.png,134017,211184,34,None of these describe me
668428,OSSe4,v1,1920,937,1920,1080,5-15-2023,10-20-6,1,3,large,classroom,notebook.png,misscaled,0,zi,laundromat,l4_zi.png,m,1,962,3,2,notebook.png,l4_zi.png,134017,211184,34,None of these describe me
